maneuver,mux,muy,sigx,sigy,time
4,89.167885,-9.518862,0.018546963,0.05875241,6.6000000000000005
4,92.071144,-10.013477,0.018583287,0.058046237,6.800000000000001
4,95.131996,-10.394687,0.018138848,0.056179836,7.0
4,98.40506,-10.696426,0.017585108,0.053957876,7.2
4,101.559525,-11.045502,0.017173508,0.051740017,7.4
4,104.23411,-11.363018,0.0167753,0.049643207,7.6000000000000005
4,106.714424,-11.689672,0.016571404,0.048858475,7.800000000000001
4,109.01148,-12.01617,0.016352277,0.04835586,8.0
4,111.31127,-12.374186,0.01597171,0.04735022,8.200000000000001
4,114.29789,-12.859975,0.01553727,0.04636424,8.4
4,118.27593,-13.41114,0.014825379,0.045102898,8.6
4,123.310905,-14.08189,0.014928067,0.044707328,8.8
4,129.0832,-14.89812,0.015055196,0.043740425,9.0
4,134.82253,-15.671903,0.014244923,0.04220103,9.200000000000001
4,138.44858,-16.100952,0.013582098,0.041057717,9.4
4,140.15231,-16.272818,0.013192335,0.040451776,9.600000000000001
4,140.99348,-16.340483,0.012953728,0.040092785,9.8
5,20.00856,1.333008,0.04321852,0.10048643,0.0
5,24.751993,2.6014416,0.011169283,0.035631478,0.2
5,26.33871,2.598092,0.009928937,0.031416267,0.4
5,29.30662,2.2480526,0.00990415,0.032330118,0.6000000000000001
5,33.11315,1.8657466,0.009832822,0.032100137,0.8
5,37.188393,1.4520917,0.009734415,0.0321094,1.0
5,41.560913,0.9930763,0.010055447,0.033075247,1.2000000000000002
5,46.57897,0.50057375,0.010146686,0.034020748,1.4000000000000001
5,50.642136,0.09222757,0.010266796,0.0353165,1.6
5,54.536255,-0.4106425,0.010581946,0.03746858,1.8
5,58.9393,-1.0287353,0.010850384,0.038632922,2.0
5,63.293175,-1.583013,0.010558962,0.037784413,2.2
5,66.9611,-1.9112971,0.010231072,0.03753631,2.4000000000000004
5,69.97931,-2.163136,0.009190853,0.03495486,2.6
5,72.10153,-2.3742568,0.009723652,0.036935404,2.8000000000000003
5,75.12008,-2.748656,0.009817404,0.035713814,3.0
5,79.10116,-3.3369,0.009806461,0.036204595,3.2
5,82.34011,-3.8265212,0.009828655,0.034838755,3.4000000000000004
5,88.601524,-4.772878,0.009686298,0.034326468,3.6
5,94.63109,-5.5966716,0.009599097,0.036109522,3.8000000000000003
5,99.09819,-6.2102675,0.009839801,0.036325533,4.0
5,103.63926,-6.883613,0.010356136,0.036784444,4.2
5,108.622505,-7.685674,0.01030071,0.036675993,4.4
