lane,time,xloc,yloc,maneuver,muX,muY,sigX,sigY,line_integral_values
-2,2.5,"(134.89139999999998, 135.75865)","(-1.4800000000000182, -1.5100000000000193)",3,89.08222,9.587736,0.032879576,0.29766393,0.0
-2,2.6,"(135.75865, 136.62239999999997)","(-1.5100000000000193, -1.5400000000000205)",3,94.109276,9.735496,0.03122578,0.2904007,0.0
-2,2.7,"(136.62239999999997, 137.48264999999992)","(-1.5400000000000205, -1.5700000000000216)",3,99.10522,9.863572,0.029748637,0.28336665,0.0
-2,2.8,"(137.48264999999992, 138.33940000000007)","(-1.5700000000000216, -1.6100000000000136)",3,104.021065,9.97682,0.028445037,0.27654767,0.0
-2,2.9,"(138.33940000000007, 139.19315000000006)","(-1.6100000000000136, -1.6400000000000148)",3,108.810196,10.079148,0.027310673,0.26991016,0.0
-2,3.0,"(139.19315000000006, 140.04340000000002)","(-1.6400000000000148, -1.670000000000016)",3,113.43351,10.173444,0.02632479,0.2634091,0.0
-2,3.1,"(140.04340000000002, 140.89014999999995)","(-1.670000000000016, -1.710000000000008)",3,117.87206,10.261548,0.025457742,0.25700456,0.0
-2,3.2,"(140.89014999999995, 141.73340000000007)","(-1.710000000000008, -1.740000000000009)",3,122.200264,10.3443365,0.024666244,0.25057817,0.0
-2,3.3,"(141.73340000000007, 142.57314999999994)","(-1.740000000000009, -1.7800000000000011)",3,127.00344,10.42253,0.02388361,0.24341482,0.0
-2,3.4,"(142.57314999999994, 143.4094)","(-1.7800000000000011, -1.8200000000000216)",3,133.98158,10.498278,0.023095017,0.23340923,0.0
-2,3.5,"(143.4094, 144.24215000000004)","(-1.8200000000000216, -1.8500000000000227)",3,141.90309,10.570659,0.022861915,0.22167942,0.0
-2,3.6,"(144.24215000000004, 145.07140000000004)","(-1.8500000000000227, -1.8900000000000148)",3,149.04291,10.634543,0.02237847,0.21036033,0.0
-2,3.7,"(145.07140000000004, 145.89717500000006)","(-1.8900000000000148, -1.9300000000000068)",3,156.81137,10.68797,0.021087857,0.19892994,0.0
-2,3.8,"(145.89717500000006, 146.71997499999998)","(-1.9300000000000068, -1.9699999999999989)",3,163.79863,10.71138,0.019420931,0.18618862,0.0
-2,3.9,"(146.71997499999998, 147.5398)","(-1.9699999999999989, -2.0100000000000193)",3,169.37798,10.710724,0.017137237,0.17334516,0.0
-2,4.0,"(147.5398, 148.35664999999995)","(-2.0100000000000193, -2.0500000000000114)",3,173.87216,10.699542,0.014946608,0.16278413,0.0
-2,4.1,"(148.35664999999995, 149.1710250000001)","(-2.0500000000000114, -2.0900000000000034)",3,177.69875,10.683581,0.013131921,0.15384991,0.0
-2,4.2,"(149.1710250000001, 149.98295000000007)","(-2.0900000000000034, -2.140000000000015)",3,181.16103,10.666059,0.011673336,0.14582315,0.0
-2,4.3,"(149.98295000000007, 150.7924250000001)","(-2.140000000000015, -2.180000000000007)",3,184.56808,10.648342,0.010529338,0.13848862,0.0
-2,4.4,"(150.7924250000001, 151.5999750000001)","(-2.180000000000007, -2.219999999999999)",3,188.27928,10.63076,0.009688894,0.13204788,0.0
-2,4.5,"(151.5999750000001, 152.40560000000005)","(-2.219999999999999, -2.2700000000000102)",3,192.58035,10.61462,0.009079739,0.12685497,0.0
-2,4.6,"(152.40560000000005, 153.20977500000004)","(-2.2700000000000102, -2.3100000000000023)",3,197.47615,10.601844,0.008585915,0.12313352,0.0
-2,4.7,"(153.20977500000004, 154.01250000000005)","(-2.3100000000000023, -2.3600000000000136)",3,202.63075,10.59202,0.008155405,0.12091787,0.0
-2,4.8,"(154.01250000000005, 154.8137999999999)","(-2.3600000000000136, -2.410000000000025)",3,207.72914,10.584039,0.0077770413,0.1197478,0.0
-2,4.9,"(154.8137999999999, 155.61417499999993)","(-2.410000000000025, -2.450000000000017)",3,212.74294,10.577582,0.0074394024,0.119008906,0.0
-2,0.0,"(112.0178249999999, 112.96997499999998)","(-0.660000000000025, -0.6899999999999977)",4,0.9004824,0.004912421,2.5673277,17.056843,0.0
-2,0.1,"(112.96997499999998, 113.92055000000005)","(-0.6899999999999977, -0.7300000000000182)",4,1.7966061,0.0044827983,1.3368411,8.640764,0.0
-2,0.2,"(113.92055000000005, 114.86905000000002)","(-0.7300000000000182, -0.7700000000000102)",4,2.3476233,0.0087808,0.8910682,6.009304,0.0
-2,0.3,"(114.86905000000002, 115.814975)","(-0.7700000000000102, -0.8000000000000114)",4,3.1411684,0.0047415122,0.63729566,4.804587,0.0
-2,0.4,"(115.814975, 116.75832500000001)","(-0.8000000000000114, -0.8300000000000125)",4,3.712758,-0.0016064718,0.4726442,4.024052,0.0
-2,0.5,"(116.75832500000001, 117.699075)","(-0.8300000000000125, -0.8700000000000045)",4,4.636519,-0.009413816,0.3697829,3.5340908,0.0
-2,0.6,"(117.699075, 118.63674999999989)","(-0.8700000000000045, -0.9000000000000057)",4,5.4497557,-0.016699895,0.3065051,3.2117562,0.0
-2,0.7,"(118.63674999999989, 119.57134999999994)","(-0.9000000000000057, -0.9300000000000068)",4,6.3790045,-0.023442648,0.264878,2.971656,0.0
-2,0.8,"(119.57134999999994, 120.50285000000008)","(-0.9300000000000068, -0.9699999999999989)",4,7.3014064,-0.029127233,0.23570652,2.7744062,0.0
-2,0.9,"(120.50285000000008, 121.43077500000004)","(-0.9699999999999989, -1.0)",4,8.235355,-0.034088247,0.21383868,2.6065264,0.0
-2,1.0,"(121.43077500000004, 122.35512500000004)","(-1.0, -1.0300000000000011)",4,9.163502,-0.038647458,0.19642197,2.4594822,0.0
-2,1.1,"(122.35512500000004, 123.27587500000004)","(-1.0300000000000011, -1.0600000000000023)",4,10.079631,-0.043263786,0.1819808,2.3277416,0.0
-2,1.2,"(123.27587500000004, 124.19254999999998)","(-1.0600000000000023, -1.0900000000000034)",4,10.984013,-0.048252456,0.16974252,2.2079027,0.0
-2,1.3,"(124.19254999999998, 125.10567500000002)","(-1.0900000000000034, -1.1300000000000239)",4,11.877177,-0.053807355,0.1592806,2.098299,0.0
-2,1.4,"(125.10567500000002, 126.0152250000001)","(-1.1300000000000239, -1.160000000000025)",4,12.759244,-0.06004625,0.1503345,1.9982051,0.0
-2,1.5,"(126.0152250000001, 126.9206999999999)","(-1.160000000000025, -1.1899999999999977)",4,13.627046,-0.067024015,0.14271204,1.9073476,0.0
-2,1.6,"(126.9206999999999, 127.82212499999991)","(-1.1899999999999977, -1.2199999999999989)",4,14.475086,-0.074748896,0.13623689,1.8253993,0.0
-2,1.7,"(127.82212499999991, 128.71949999999993)","(-1.2199999999999989, -1.25)",4,15.296105,-0.08319721,0.13073812,1.7518415,0.0
-2,1.8,"(128.71949999999993, 129.61282499999993)","(-1.25, -1.2900000000000205)",4,16.08219,-0.09233343,0.1260554,1.6860089,0.0
-2,1.9,"(129.61282499999993, 130.50212499999998)","(-1.2900000000000205, -1.3200000000000216)",4,16.82637,-0.10212364,0.122046895,1.6271588,0.0
-2,2.0,"(130.50212499999998, 131.38740000000007)","(-1.3200000000000216, -1.3500000000000227)",4,17.523594,-0.11254134,0.118593246,1.5745413,0.0
-2,2.1,"(131.38740000000007, 132.26864999999998)","(-1.3500000000000227, -1.3800000000000239)",4,18.171177,-0.123567544,0.11559689,1.5274396,0.0
-2,2.2,"(132.26864999999998, 133.14640000000009)","(-1.3800000000000239, -1.410000000000025)",4,18.768652,-0.1351879,0.11297917,1.485191,0.0
-2,2.3,"(133.14640000000009, 134.02064999999993)","(-1.410000000000025, -1.4399999999999977)",4,19.317398,-0.14738974,0.11067661,1.4471925,0.0
